schedule_id,product_id,location_id,customer_id,schedule_date,qty,snapshot_date
SCH00032,PROD-006,DC002,CUST001,2026-01-31,5998,2026-01-30
SCH00033,PROD-006,DC002,CUST001,2026-02-01,16481,2026-01-30
SCH00034,PROD-006,DC002,CUST001,2026-02-02,8620,2026-01-30
SCH00035,PROD-006,DC002,CUST001,2026-02-03,11428,2026-01-30
SCH00036,PROD-006,DC002,CUST001,2026-02-04,8305,2026-01-30
SCH00037,PROD-007,DC002,CUST001,2026-01-30,18766,2026-01-30
SCH00038,PROD-007,DC002,CUST001,2026-01-31,18646,2026-01-30
SCH00039,PROD-007,DC002,CUST001,2026-02-01,18042,2026-01-30
SCH00040,PROD-007,DC002,CUST001,2026-02-02,17785,2026-01-30
SCH00041,PROD-007,DC002,CUST001,2026-02-03,17411,2026-01-30
SCH00042,PROD-007,DC002,CUST001,2026-02-04,14693,2026-01-30
SCH00043,PROD-008,DC002,CUST001,2026-01-30,11997,2026-01-30
SCH00044,PROD-008,DC002,CUST001,2026-01-31,8785,2026-01-30
SCH00045,PROD-008,DC002,CUST001,2026-02-01,10378,2026-01-30
SCH00046,PROD-008,DC002,CUST001,2026-02-02,5554,2026-01-30
SCH00047,PROD-008,DC002,CUST001,2026-02-03,10304,2026-01-30
SCH00048,PROD-008,DC002,CUST001,2026-02-04,16393,2026-01-30
SCH00049,PROD-009,DC002,CUST001,2026-01-30,14721,2026-01-30
SCH00050,PROD-009,DC002,CUST001,2026-01-31,5264,2026-01-30
SCH00051,PROD-009,DC002,CUST001,2026-02-01,5989,2026-01-30
SCH00052,PROD-009,DC002,CUST001,2026-02-02,19287,2026-01-30
SCH00053,PROD-009,DC002,CUST001,2026-02-03,6852,2026-01-30
SCH00054,PROD-009,DC002,CUST001,2026-02-04,14707,2026-01-30
SCH00055,PROD-010,DC002,CUST001,2026-01-30,12547,2026-01-30
SCH00056,PROD-010,DC002,CUST001,2026-01-31,16119,2026-01-30
SCH00057,PROD-010,DC002,CUST001,2026-02-01,12501,2026-01-30
SCH00058,PROD-010,DC002,CUST001,2026-02-02,12322,2026-01-30
SCH00059,PROD-010,DC002,CUST001,2026-02-03,19267,2026-01-30
SCH00060,PROD-010,DC002,CUST001,2026-02-04,11564,2026-01-30
SCH00061,PROD-001,DC002,CUST002,2026-01-30,9672,2026-01-30
SCH00062,PROD-001,DC002,CUST002,2026-01-31,5585,2026-01-30
SCH00063,PROD-001,DC002,CUST002,2026-02-01,7236,2026-01-30
SCH00064,PROD-001,DC002,CUST002,2026-02-02,8553,2026-01-30
SCH00065,PROD-001,DC002,CUST002,2026-02-03,11869,2026-01-30
SCH00066,PROD-001,DC002,CUST002,2026-02-04,7398,2026-01-30
SCH00067,PROD-002,DC002,CUST002,2026-01-30,17168,2026-01-30
SCH00068,PROD-002,DC002,CUST002,2026-01-31,18195,2026-01-30
SCH00069,PROD-002,DC002,CUST002,2026-02-01,11659,2026-01-30
SCH00070,PROD-002,DC002,CUST002,2026-02-02,18504,2026-01-30
SCH00071,PROD-002,DC002,CUST002,2026-02-03,9239,2026-01-30
SCH00072,PROD-002,DC002,CUST002,2026-02-04,8293,2026-01-30
SCH00073,PROD-003,DC002,CUST002,2026-01-30,10383,2026-01-30
SCH00074,PROD-003,DC002,CUST002,2026-01-31,12644,2026-01-30
SCH00075,PROD-003,DC002,CUST002,2026-02-01,14867,2026-01-30
SCH00076,PROD-003,DC002,CUST002,2026-02-02,5643,2026-01-30
SCH00077,PROD-003,DC002,CUST002,2026-02-03,17471,2026-01-30
SCH00078,PROD-003,DC002,CUST002,2026-02-04,18383,2026-01-30
SCH00079,PROD-004,DC002,CUST002,2026-01-30,10264,2026-01-30
SCH00080,PROD-004,DC002,CUST002,2026-01-31,16725,2026-01-30
SCH00081,PROD-004,DC002,CUST002,2026-02-01,8949,2026-01-30
SCH00082,PROD-004,DC002,CUST002,2026-02-02,15514,2026-01-30
SCH00083,PROD-004,DC002,CUST002,2026-02-03,6427,2026-01-30
SCH00084,PROD-004,DC002,CUST002,2026-02-04,9893,2026-01-30
SCH00085,PROD-005,DC002,CUST002,2026-01-30,15737,2026-01-30
SCH00086,PROD-005,DC002,CUST002,2026-01-31,18422,2026-01-30
SCH00087,PROD-005,DC002,CUST002,2026-02-01,16206,2026-01-30
SCH00088,PROD-005,DC002,CUST002,2026-02-02,17959,2026-01-30
SCH00089,PROD-005,DC002,CUST002,2026-02-03,15036,2026-01-30
SCH00090,PROD-005,DC002,CUST002,2026-02-04,7068,2026-01-30
SCH00091,PROD-006,DC002,CUST002,2026-01-30,11742,2026-01-30
SCH00092,PROD-006,DC002,CUST002,2026-01-31,10513,2026-01-30
SCH00093,PROD-006,DC002,CUST002,2026-02-01,8792,2026-01-30
SCH00094,PROD-006,DC002,CUST002,2026-02-02,19410,2026-01-30
SCH00095,PROD-006,DC002,CUST002,2026-02-03,12373,2026-01-30
SCH00096,PROD-006,DC002,CUST002,2026-02-04,6775,2026-01-30
SCH00097,PROD-007,DC002,CUST002,2026-01-30,7696,2026-01-30
SCH00098,PROD-007,DC002,CUST002,2026-01-31,16367,2026-01-30
SCH00099,PROD-007,DC002,CUST002,2026-02-01,14611,2026-01-30
SCH00100,PROD-007,DC002,CUST002,2026-02-02,5639,2026-01-30
SCH00101,PROD-007,DC002,CUST002,2026-02-03,19051,2026-01-30
SCH00102,PROD-007,DC002,CUST002,2026-02-04,18524,2026-01-30
SCH00103,PROD-008,DC002,CUST002,2026-01-30,13715,2026-01-30
SCH00104,PROD-008,DC002,CUST002,2026-01-31,8118,2026-01-30
SCH00105,PROD-008,DC002,CUST002,2026-02-01,6380,2026-01-30
SCH00106,PROD-008,DC002,CUST002,2026-02-02,5761,2026-01-30
SCH00107,PROD-008,DC002,CUST002,2026-02-03,15720,2026-01-30
SCH00108,PROD-008,DC002,CUST002,2026-02-04,12464,2026-01-30
SCH00109,PROD-009,DC002,CUST002,2026-01-30,8379,2026-01-30
SCH00110,PROD-009,DC002,CUST002,2026-01-31,15902,2026-01-30
SCH00111,PROD-009,DC002,CUST002,2026-02-01,14023,2026-01-30
SCH00112,PROD-009,DC002,CUST002,2026-02-02,14837,2026-01-30
SCH00113,PROD-009,DC002,CUST002,2026-02-03,10243,2026-01-30
SCH00114,PROD-009,DC002,CUST002,2026-02-04,15940,2026-01-30
SCH00115,PROD-010,DC002,CUST002,2026-01-30,7914,2026-01-30
SCH00116,PROD-010,DC002,CUST002,2026-01-31,6414,2026-01-30
SCH00117,PROD-010,DC002,CUST002,2026-02-01,14680,2026-01-30
SCH00118,PROD-010,DC002,CUST002,2026-02-02,17454,2026-01-30
SCH00119,PROD-010,DC002,CUST002,2026-02-03,19887,2026-01-30
SCH00120,PROD-010,DC002,CUST002,2026-02-04,6873,2026-01-30
SCH00121,PROD-001,DC002,CUST003,2026-01-30,19931,2026-01-30
SCH00122,PROD-001,DC002,CUST003,2026-01-31,7345,2026-01-30
SCH00123,PROD-001,DC002,CUST003,2026-02-01,19101,2026-01-30
SCH00124,PROD-001,DC002,CUST003,2026-02-02,11840,2026-01-30
SCH00125,PROD-001,DC002,CUST003,2026-02-03,9203,2026-01-30
SCH00126,PROD-001,DC002,CUST003,2026-02-04,5780,2026-01-30
SCH00127,PROD-002,DC002,CUST003,2026-01-30,15859,2026-01-30
SCH00128,PROD-002,DC002,CUST003,2026-01-31,5153,2026-01-30
SCH00129,PROD-002,DC002,CUST003,2026-02-01,6672,2026-01-30
SCH00130,PROD-002,DC002,CUST003,2026-02-02,12476,2026-01-30
SCH00131,PROD-002,DC002,CUST003,2026-02-03,18049,2026-01-30
SCH00132,PROD-002,DC002,CUST003,2026-02-04,13325,2026-01-30
SCH00133,PROD-003,DC002,CUST003,2026-01-30,18890,2026-01-30
SCH00134,PROD-003,DC002,CUST003,2026-01-31,7342,2026-01-30
SCH00135,PROD-003,DC002,CUST003,2026-02-01,10112,2026-01-30
SCH00136,PROD-003,DC002,CUST003,2026-02-02,17233,2026-01-30
SCH00137,PROD-003,DC002,CUST003,2026-02-03,15403,2026-01-30
SCH00138,PROD-003,DC002,CUST003,2026-02-04,5508,2026-01-30
SCH00139,PROD-004,DC002,CUST003,2026-01-30,10075,2026-01-30
SCH00140,PROD-004,DC002,CUST003,2026-01-31,17068,2026-01-30
SCH00141,PROD-004,DC002,CUST003,2026-02-01,18789,2026-01-30
SCH00142,PROD-004,DC002,CUST003,2026-02-02,10323,2026-01-30
SCH00143,PROD-004,DC002,CUST003,2026-02-03,15160,2026-01-30
SCH00144,PROD-004,DC002,CUST003,2026-02-04,8743,2026-01-30
SCH00145,PROD-005,DC002,CUST003,2026-01-30,5657,2026-01-30
SCH00146,PROD-005,DC002,CUST003,2026-01-31,16569,2026-01-30
SCH00147,PROD-005,DC002,CUST003,2026-02-01,5145,2026-01-30
SCH00148,PROD-005,DC002,CUST003,2026-02-02,13330,2026-01-30
SCH00149,PROD-005,DC002,CUST003,2026-02-03,10630,2026-01-30
SCH00150,PROD-005,DC002,CUST003,2026-02-04,12504,2026-01-30
SCH00151,PROD-006,DC002,CUST003,2026-01-30,11185,2026-01-30
SCH00152,PROD-006,DC002,CUST003,2026-01-31,17247,2026-01-30
SCH00153,PROD-006,DC002,CUST003,2026-02-01,12900,2026-01-30
SCH00154,PROD-006,DC002,CUST003,2026-02-02,13795,2026-01-30
SCH00155,PROD-006,DC002,CUST003,2026-02-03,11728,2026-01-30
SCH00156,PROD-006,DC002,CUST003,2026-02-04,16791,2026-01-30
SCH00157,PROD-007,DC002,CUST003,2026-01-30,15895,2026-01-30
SCH00158,PROD-007,DC002,CUST003,2026-01-31,7569,2026-01-30
SCH00159,PROD-007,DC002,CUST003,2026-02-01,17748,2026-01-30
SCH00160,PROD-007,DC002,CUST003,2026-02-02,14251,2026-01-30
SCH00161,PROD-007,DC002,CUST003,2026-02-03,13900,2026-01-30
SCH00162,PROD-007,DC002,CUST003,2026-02-04,14924,2026-01-30
SCH00163,PROD-008,DC002,CUST003,2026-01-30,14932,2026-01-30
SCH00164,PROD-008,DC002,CUST003,2026-01-31,10285,2026-01-30
SCH00165,PROD-008,DC002,CUST003,2026-02-01,19868,2026-01-30
SCH00166,PROD-008,DC002,CUST003,2026-02-02,19232,2026-01-30
SCH00167,PROD-008,DC002,CUST003,2026-02-03,5886,2026-01-30
SCH00168,PROD-008,DC002,CUST003,2026-02-04,11143,2026-01-30
SCH00169,PROD-009,DC002,CUST003,2026-01-30,13647,2026-01-30
SCH00170,PROD-009,DC002,CUST003,2026-01-31,9636,2026-01-30
SCH00171,PROD-009,DC002,CUST003,2026-02-01,15997,2026-01-30
SCH00172,PROD-009,DC002,CUST003,2026-02-02,18867,2026-01-30
SCH00173,PROD-009,DC002,CUST003,2026-02-03,6712,2026-01-30
SCH00174,PROD-009,DC002,CUST003,2026-02-04,15360,2026-01-30
SCH00175,PROD-010,DC002,CUST003,2026-01-30,8186,2026-01-30
SCH00176,PROD-010,DC002,CUST003,2026-01-31,19841,2026-01-30
SCH00177,PROD-010,DC002,CUST003,2026-02-01,17034,2026-01-30
SCH00178,PROD-010,DC002,CUST003,2026-02-02,18424,2026-01-30
SCH00179,PROD-010,DC002,CUST003,2026-02-03,16739,2026-01-30
SCH00180,PROD-010,DC002,CUST003,2026-02-04,14316,2026-01-30
SCH00181,PROD-001,DC002,CUST004,2026-01-30,17768,2026-01-30
SCH00182,PROD-001,DC002,CUST004,2026-01-31,7733,2026-01-30
SCH00183,PROD-001,DC002,CUST004,2026-02-01,9473,2026-01-30
SCH00184,PROD-001,DC002,CUST004,2026-02-02,5564,2026-01-30
SCH00185,PROD-001,DC002,CUST004,2026-02-03,10951,2026-01-30
SCH00186,PROD-001,DC002,CUST004,2026-02-04,17364,2026-01-30
SCH00187,PROD-002,DC002,CUST004,2026-01-30,14437,2026-01-30
SCH00188,PROD-002,DC002,CUST004,2026-01-31,16922,2026-01-30
SCH00189,PROD-002,DC002,CUST004,2026-02-01,10736,2026-01-30
SCH00190,PROD-002,DC002,CUST004,2026-02-02,13954,2026-01-30
SCH00191,PROD-002,DC002,CUST004,2026-02-03,7935,2026-01-30
SCH00192,PROD-002,DC002,CUST004,2026-02-04,12233,2026-01-30
SCH00193,PROD-003,DC002,CUST004,2026-01-30,7184,2026-01-30
SCH00194,PROD-003,DC002,CUST004,2026-01-31,7923,2026-01-30
SCH00195,PROD-003,DC002,CUST004,2026-02-01,9437,2026-01-30
SCH00196,PROD-003,DC002,CUST004,2026-02-02,5391,2026-01-30
SCH00197,PROD-003,DC002,CUST004,2026-02-03,6877,2026-01-30
SCH00198,PROD-003,DC002,CUST004,2026-02-04,5996,2026-01-30
SCH00199,PROD-004,DC002,CUST004,2026-01-30,5121,2026-01-30
SCH00200,PROD-004,DC002,CUST004,2026-01-31,16127,2026-01-30
SCH00201,PROD-004,DC002,CUST004,2026-02-01,17395,2026-01-30
SCH00202,PROD-004,DC002,CUST004,2026-02-02,18689,2026-01-30
SCH00203,PROD-004,DC002,CUST004,2026-02-03,6604,2026-01-30
SCH00204,PROD-004,DC002,CUST004,2026-02-04,5561,2026-01-30
SCH00205,PROD-005,DC002,CUST004,2026-01-30,8445,2026-01-30
SCH00206,PROD-005,DC002,CUST004,2026-01-31,5545,2026-01-30
SCH00207,PROD-005,DC002,CUST004,2026-02-01,17826,2026-01-30
SCH00208,PROD-005,DC002,CUST004,2026-02-02,9054,2026-01-30
SCH00209,PROD-005,DC002,CUST004,2026-02-03,15197,2026-01-30
SCH00210,PROD-005,DC002,CUST004,2026-02-04,5671,2026-01-30
SCH00211,PROD-006,DC002,CUST004,2026-01-30,16172,2026-01-30
SCH00212,PROD-006,DC002,CUST004,2026-01-31,8335,2026-01-30
SCH00213,PROD-006,DC002,CUST004,2026-02-01,13291,2026-01-30
SCH00214,PROD-006,DC002,CUST004,2026-02-02,10342,2026-01-30
SCH00215,PROD-006,DC002,CUST004,2026-02-03,19787,2026-01-30
SCH00216,PROD-006,DC002,CUST004,2026-02-04,9341,2026-01-30
SCH00217,PROD-007,DC002,CUST004,2026-01-30,6419,2026-01-30
SCH00218,PROD-007,DC002,CUST004,2026-01-31,18622,2026-01-30
SCH00219,PROD-007,DC002,CUST004,2026-02-01,15738,2026-01-30
SCH00220,PROD-007,DC002,CUST004,2026-02-02,18556,2026-01-30
SCH00221,PROD-007,DC002,CUST004,2026-02-03,14447,2026-01-30
SCH00222,PROD-007,DC002,CUST004,2026-02-04,10148,2026-01-30
SCH00223,PROD-008,DC002,CUST004,2026-01-30,9294,2026-01-30
SCH00224,PROD-008,DC002,CUST004,2026-01-31,5422,2026-01-30
SCH00225,PROD-008,DC002,CUST004,2026-02-01,18749,2026-01-30
SCH00226,PROD-008,DC002,CUST004,2026-02-02,11020,2026-01-30
SCH00227,PROD-008,DC002,CUST004,2026-02-03,13431,2026-01-30
SCH00228,PROD-008,DC002,CUST004,2026-02-04,19443,2026-01-30
SCH00229,PROD-009,DC002,CUST004,2026-01-30,14347,2026-01-30
SCH00230,PROD-009,DC002,CUST004,2026-01-31,11664,2026-01-30
SCH00231,PROD-009,DC002,CUST004,2026-02-01,11596,2026-01-30
SCH00232,PROD-009,DC002,CUST004,2026-02-02,9361,2026-01-30
SCH00233,PROD-009,DC002,CUST004,2026-02-03,6077,2026-01-30
SCH00234,PROD-009,DC002,CUST004,2026-02-04,10743,2026-01-30
SCH00235,PROD-010,DC002,CUST004,2026-01-30,10145,2026-01-30
SCH00236,PROD-010,DC002,CUST004,2026-01-31,11137,2026-01-30
SCH00237,PROD-010,DC002,CUST004,2026-02-01,10393,2026-01-30
SCH00238,PROD-010,DC002,CUST004,2026-02-02,14148,2026-01-30
SCH00239,PROD-010,DC002,CUST004,2026-02-03,8364,2026-01-30
SCH00240,PROD-010,DC002,CUST004,2026-02-04,18590,2026-01-30
SCH00241,PROD-001,DC002,CUST005,2026-01-30,16430,2026-01-30
SCH00242,PROD-001,DC002,CUST005,2026-01-31,18766,2026-01-30
SCH00243,PROD-001,DC002,CUST005,2026-02-01,6132,2026-01-30
SCH00244,PROD-001,DC002,CUST005,2026-02-02,9550,2026-01-30
SCH00245,PROD-001,DC002,CUST005,2026-02-03,13180,2026-01-30
SCH00246,PROD-001,DC002,CUST005,2026-02-04,15579,2026-01-30
SCH00247,PROD-002,DC002,CUST005,2026-01-30,16759,2026-01-30
SCH00248,PROD-002,DC002,CUST005,2026-01-31,15835,2026-01-30
SCH00249,PROD-002,DC002,CUST005,2026-02-01,7446,2026-01-30
SCH00250,PROD-002,DC002,CUST005,2026-02-02,14224,2026-01-30
SCH00251,PROD-002,DC002,CUST005,2026-02-03,16589,2026-01-30
SCH00252,PROD-002,DC002,CUST005,2026-02-04,7566,2026-01-30
SCH00253,PROD-003,DC002,CUST005,2026-01-30,14698,2026-01-30
SCH00254,PROD-003,DC002,CUST005,2026-01-31,16729,2026-01-30
SCH00255,PROD-003,DC002,CUST005,2026-02-01,8595,2026-01-30
SCH00256,PROD-003,DC002,CUST005,2026-02-02,13324,2026-01-30
SCH00257,PROD-003,DC002,CUST005,2026-02-03,6073,2026-01-30
SCH00258,PROD-003,DC002,CUST005,2026-02-04,13038,2026-01-30
SCH00259,PROD-004,DC002,CUST005,2026-01-30,15095,2026-01-30
SCH00260,PROD-004,DC002,CUST005,2026-01-31,5079,2026-01-30
SCH00261,PROD-004,DC002,CUST005,2026-02-01,10567,2026-01-30
SCH00262,PROD-004,DC002,CUST005,2026-02-02,5472,2026-01-30
SCH00263,PROD-004,DC002,CUST005,2026-02-03,12890,2026-01-30
SCH00264,PROD-004,DC002,CUST005,2026-02-04,19798,2026-01-30
SCH00265,PROD-005,DC002,CUST005,2026-01-30,16282,2026-01-30
SCH00266,PROD-005,DC002,CUST005,2026-01-31,13003,2026-01-30
SCH00267,PROD-005,DC002,CUST005,2026-02-01,16234,2026-01-30
SCH00268,PROD-005,DC002,CUST005,2026-02-02,19003,2026-01-30
SCH00269,PROD-005,DC002,CUST005,2026-02-03,10011,2026-01-30
SCH00270,PROD-005,DC002,CUST005,2026-02-04,17083,2026-01-30
SCH00271,PROD-006,DC002,CUST005,2026-01-30,13208,2026-01-30
SCH00272,PROD-006,DC002,CUST005,2026-01-31,5131,2026-01-30
SCH00273,PROD-006,DC002,CUST005,2026-02-01,10494,2026-01-30
SCH00274,PROD-006,DC002,CUST005,2026-02-02,7658,2026-01-30
SCH00275,PROD-006,DC002,CUST005,2026-02-03,6302,2026-01-30
SCH00276,PROD-006,DC002,CUST005,2026-02-04,6833,2026-01-30
SCH00277,PROD-007,DC002,CUST005,2026-01-30,19725,2026-01-30
SCH00278,PROD-007,DC002,CUST005,2026-01-31,13360,2026-01-30
SCH00279,PROD-007,DC002,CUST005,2026-02-01,6687,2026-01-30
SCH00280,PROD-007,DC002,CUST005,2026-02-02,13890,2026-01-30
SCH00281,PROD-007,DC002,CUST005,2026-02-03,17877,2026-01-30
SCH00282,PROD-007,DC002,CUST005,2026-02-04,14755,2026-01-30
SCH00283,PROD-008,DC002,CUST005,2026-01-30,16490,2026-01-30
SCH00284,PROD-008,DC002,CUST005,2026-01-31,9600,2026-01-30
SCH00285,PROD-008,DC002,CUST005,2026-02-01,13713,2026-01-30
SCH00286,PROD-008,DC002,CUST005,2026-02-02,12391,2026-01-30
SCH00287,PROD-008,DC002,CUST005,2026-02-03,14390,2026-01-30
SCH00288,PROD-008,DC002,CUST005,2026-02-04,12413,2026-01-30
SCH00289,PROD-009,DC002,CUST005,2026-01-30,10055,2026-01-30
SCH00290,PROD-009,DC002,CUST005,2026-01-31,7095,2026-01-30
SCH00291,PROD-009,DC002,CUST005,2026-02-01,11161,2026-01-30
SCH00292,PROD-009,DC002,CUST005,2026-02-02,19210,2026-01-30
SCH00293,PROD-009,DC002,CUST005,2026-02-03,19541,2026-01-30
SCH00294,PROD-009,DC002,CUST005,2026-02-04,10935,2026-01-30
SCH00295,PROD-010,DC002,CUST005,2026-01-30,6445,2026-01-30
SCH00296,PROD-010,DC002,CUST005,2026-01-31,7874,2026-01-30
SCH00297,PROD-010,DC002,CUST005,2026-02-01,19856,2026-01-30
SCH00298,PROD-010,DC002,CUST005,2026-02-02,14598,2026-01-30
SCH00299,PROD-010,DC002,CUST005,2026-02-03,15110,2026-01-30
SCH00300,PROD-010,DC002,CUST005,2026-02-04,10538,2026-01-30
SCH00301,PROD-001,DC002,CUST006,2026-01-30,7082,2026-01-30
SCH00302,PROD-001,DC002,CUST006,2026-01-31,12081,2026-01-30
SCH00303,PROD-001,DC002,CUST006,2026-02-01,9027,2026-01-30
SCH00304,PROD-001,DC002,CUST006,2026-02-02,9827,2026-01-30
SCH00305,PROD-001,DC002,CUST006,2026-02-03,8708,2026-01-30
SCH00306,PROD-001,DC002,CUST006,2026-02-04,8522,2026-01-30
SCH00307,PROD-002,DC002,CUST006,2026-01-30,9797,2026-01-30
SCH00308,PROD-002,DC002,CUST006,2026-01-31,12139,2026-01-30
SCH00309,PROD-002,DC002,CUST006,2026-02-01,7152,2026-01-30
SCH00310,PROD-002,DC002,CUST006,2026-02-02,10771,2026-01-30
SCH00311,PROD-002,DC002,CUST006,2026-02-03,14258,2026-01-30
SCH00312,PROD-002,DC002,CUST006,2026-02-04,5578,2026-01-30
SCH00313,PROD-003,DC002,CUST006,2026-01-30,8668,2026-01-30
SCH00314,PROD-003,DC002,CUST006,2026-01-31,10636,2026-01-30
SCH00315,PROD-003,DC002,CUST006,2026-02-01,12485,2026-01-30
SCH00316,PROD-003,DC002,CUST006,2026-02-02,6303,2026-01-30
SCH00317,PROD-003,DC002,CUST006,2026-02-03,6251,2026-01-30
SCH00318,PROD-003,DC002,CUST006,2026-02-04,10315,2026-01-30
SCH00319,PROD-004,DC002,CUST006,2026-01-30,18715,2026-01-30
SCH00320,PROD-004,DC002,CUST006,2026-01-31,19737,2026-01-30
SCH00321,PROD-004,DC002,CUST006,2026-02-01,7322,2026-01-30
SCH00322,PROD-004,DC002,CUST006,2026-02-02,10643,2026-01-30
SCH00323,PROD-004,DC002,CUST006,2026-02-03,17231,2026-01-30
SCH00324,PROD-004,DC002,CUST006,2026-02-04,5298,2026-01-30
SCH00325,PROD-005,DC002,CUST006,2026-01-30,14413,2026-01-30
SCH00326,PROD-005,DC002,CUST006,2026-01-31,15604,2026-01-30
SCH00327,PROD-005,DC002,CUST006,2026-02-01,13779,2026-01-30
SCH00328,PROD-005,DC002,CUST006,2026-02-02,11935,2026-01-30
SCH00329,PROD-005,DC002,CUST006,2026-02-03,17660,2026-01-30
SCH00330,PROD-005,DC002,CUST006,2026-02-04,15979,2026-01-30
SCH00331,PROD-006,DC002,CUST006,2026-01-30,18315,2026-01-30
SCH00332,PROD-006,DC002,CUST006,2026-01-31,19008,2026-01-30
SCH00333,PROD-006,DC002,CUST006,2026-02-01,8578,2026-01-30
SCH00334,PROD-006,DC002,CUST006,2026-02-02,5661,2026-01-30
SCH00335,PROD-006,DC002,CUST006,2026-02-03,6840,2026-01-30
SCH00336,PROD-006,DC002,CUST006,2026-02-04,9799,2026-01-30
SCH00337,PROD-007,DC002,CUST006,2026-01-30,9441,2026-01-30
SCH00338,PROD-007,DC002,CUST006,2026-01-31,17840,2026-01-30
SCH00339,PROD-007,DC002,CUST006,2026-02-01,16287,2026-01-30
SCH00340,PROD-007,DC002,CUST006,2026-02-02,14627,2026-01-30
SCH00341,PROD-007,DC002,CUST006,2026-02-03,12599,2026-01-30
SCH00342,PROD-007,DC002,CUST006,2026-02-04,6286,2026-01-30
SCH00343,PROD-008,DC002,CUST006,2026-01-30,6145,2026-01-30
SCH00344,PROD-008,DC002,CUST006,2026-01-31,10760,2026-01-30
SCH00345,PROD-008,DC002,CUST006,2026-02-01,13541,2026-01-30
SCH00346,PROD-008,DC002,CUST006,2026-02-02,12707,2026-01-30
SCH00347,PROD-008,DC002,CUST006,2026-02-03,7768,2026-01-30
SCH00348,PROD-008,DC002,CUST006,2026-02-04,8770,2026-01-30
SCH00349,PROD-009,DC002,CUST006,2026-01-30,13908,2026-01-30
SCH00350,PROD-009,DC002,CUST006,2026-01-31,19433,2026-01-30
SCH00351,PROD-009,DC002,CUST006,2026-02-01,8059,2026-01-30
SCH00352,PROD-009,DC002,CUST006,2026-02-02,6574,2026-01-30
SCH00353,PROD-009,DC002,CUST006,2026-02-03,13590,2026-01-30
SCH00354,PROD-009,DC002,CUST006,2026-02-04,13426,2026-01-30
SCH00355,PROD-010,DC002,CUST006,2026-01-30,6654,2026-01-30
SCH00356,PROD-010,DC002,CUST006,2026-01-31,16928,2026-01-30
SCH00357,PROD-010,DC002,CUST006,2026-02-01,17733,2026-01-30
SCH00358,PROD-010,DC002,CUST006,2026-02-02,8234,2026-01-30
SCH00359,PROD-010,DC002,CUST006,2026-02-03,7799,2026-01-30
SCH00360,PROD-010,DC002,CUST006,2026-02-04,14374,2026-01-30
SCH00361,PROD-001,DC002,CUST007,2026-01-30,14922,2026-01-30
SCH00362,PROD-001,DC002,CUST007,2026-01-31,19545,2026-01-30
SCH00363,PROD-001,DC002,CUST007,2026-02-01,17177,2026-01-30
SCH00364,PROD-001,DC002,CUST007,2026-02-02,7698,2026-01-30
SCH00365,PROD-001,DC002,CUST007,2026-02-03,10044,2026-01-30
SCH00366,PROD-001,DC002,CUST007,2026-02-04,7916,2026-01-30
