record_id,reference_number,product_id,product_name,status,qty,unit_price,current_location,latitude,longitude,destination,time_remaining_to_destination_hours,last_updated,last_updated_cst,expected_arrival_time,batch_id,transit_status
1010,CUST-002009,PROD-008,Organic Apples,In Transit to Customer,7161,2.99,"Tracy, CA",37.7397,-121.4252,"San Jose, CA",0.68,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch2414,OnTime
500,CUST-001499,PROD-004,Organic Strawberries,In Transit to Customer,7587,5.99,"Fort Carson, CO",38.7347,-104.7886,"Pueblo, CO",0.63,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch8938,OnTime
1126,CUST-002125,PROD-009,Organic Lettuce,In Transit to Customer,7500,3.99,"Fort Oglethorpe, GA",34.9448,-85.2574,"Chattanooga, TN",0.14,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch9651,OnTime
1225,DCST-002224,PROD-010,Organic Bell Peppers,At DC,44194,4.49,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch750,Nil
44,DCST-001043,PROD-001,Organic Bananas,At DC,27141,0.79,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6414,Nil
1133,CUST-002132,PROD-009,Organic Lettuce,In Transit to Customer,6066,3.99,"Munds Park, AZ",34.9414,-111.6376,"Flagstaff, AZ",0.32,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch8353,OnTime
1096,DCST-002095,PROD-009,Organic Lettuce,At DC,30246,3.99,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch7789,Nil
525,SUPP-001524,PROD-005,Organic Blueberries,In Transit from Supplier,6054,6.99,"Winslow, AZ",35.0242,-110.6974,"Houston Dock, TX",17.53,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 12:24 AM CST,batch9235,OnTime
545,DCTR-001544,PROD-005,Organic Blueberries,In Transit to DC,3283,6.99,"Fresno, CA",36.7378,-119.7871,"Sacramento DC, CA",2.87,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 09:24 AM CST,batch3453,OnTime
31,DCTR-001030,PROD-001,Organic Bananas,In Transit to DC,5193,0.79,"Baton Rouge, LA",30.4515,-91.1871,"Atlanta DC, GA",8.33,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 03:24 PM CST,batch4335,OnTime
565,DCST-001564,PROD-005,Organic Blueberries,At DC,32369,6.99,"Phoenix DC, AZ",33.4484,-112.074,"Phoenix DC, AZ",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch7887,Nil
940,DCST-001939,PROD-008,Organic Apples,At DC,33613,2.99,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch2718,Nil
712,DCST-001711,PROD-006,Organic Tomatoes,At DC,25332,3.49,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6001,Nil
1237,DCST-002236,PROD-010,Organic Bell Peppers,At DC,33178,4.49,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch5710,Nil
866,CUST-001865,PROD-007,Organic Carrots,In Transit to Customer,7763,1.99,"Adairsville, GA",34.3687,-84.9335,"Chattanooga, TN",0.93,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch4808,OnTime
1053,DOCK-002052,PROD-009,Organic Lettuce,At the Dock,20465,3.99,"Houston Dock, TX",29.7604,-95.3698,"Houston Dock, TX",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6735,Nil
163,DCTR-001162,PROD-002,Organic Avocados,In Transit to DC,7611,2.49,"Modesto, CA",37.6391,-120.9969,"Sacramento DC, CA",1.28,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch7077,OnTime
367,CUST-001366,PROD-003,Organic Spinach,In Transit to Customer,4301,4.99,"Palmer Lake, CO",39.1194,-104.9122,"Colorado Springs, CO",0.37,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch6524,OnTime
1246,CUST-002245,PROD-010,Organic Bell Peppers,In Transit to Customer,5406,4.49,"Oxford, AL",33.6142,-85.8344,"Birmingham, AL",1.03,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch4842,OnTime
1027,CUST-002026,PROD-008,Organic Apples,In Transit to Customer,3845,2.99,"Litchfield, NH",42.8409,-71.4706,"Manchester, NH",0.19,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch6099,OnTime
82,DCST-001081,PROD-001,Organic Bananas,At DC,41407,0.79,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch2013,Nil
183,DCST-001182,PROD-002,Organic Avocados,At DC,27084,2.49,"Phoenix DC, AZ",33.4484,-112.074,"Phoenix DC, AZ",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6588,Nil
131,CUST-001130,PROD-001,Organic Bananas,In Transit to Customer,4255,0.79,"Framingham, MA",42.2793,-71.4162,"Worcester, MA",0.36,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch6234,OnTime
1144,CUST-002143,PROD-009,Organic Lettuce,In Transit to Customer,4408,3.99,"Gleneagle, CO",39.0447,-104.8289,"Colorado Springs, CO",0.26,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch8332,OnTime
747,CUST-001746,PROD-006,Organic Tomatoes,In Transit to Customer,4953,3.49,"Mohawk, AZ",32.7384,-113.9415,"Yuma, AZ",0.73,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch9624,OnTime
41,DCTR-001040,PROD-001,Organic Bananas,In Transit to DC,3893,0.79,"Beaumont, TX",30.0802,-94.1266,"Boston DC, MA",27.87,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 10:24 AM CST,batch6440,OnTime
97,CUST-001096,PROD-001,Organic Bananas,In Transit to Customer,5884,0.79,"Anniston, AL",33.6598,-85.8316,"Birmingham, AL",1.04,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch7059,OnTime
1093,DCST-002092,PROD-009,Organic Lettuce,At DC,35993,3.99,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch2361,Nil
1132,CUST-002131,PROD-009,Organic Lettuce,In Transit to Customer,3003,3.99,"Jerome, AZ",34.7489,-112.1135,"Flagstaff, AZ",0.74,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch4780,OnTime
154,SUPP-001153,PROD-002,Organic Avocados,In Transit from Supplier,3169,2.49,"Barstow, CA",34.8958,-117.0228,"Houston Dock, TX",23.82,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 06:24 AM CST,batch3855,OnTime
608,CUST-001607,PROD-005,Organic Blueberries,In Transit to Customer,6475,6.99,"Catalina, AZ",32.5009,-110.9187,"Tucson, AZ",0.35,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch4547,OnTime
501,CUST-001500,PROD-004,Organic Strawberries,In Transit to Customer,4427,5.99,"Fountain, CO",38.6822,-104.7008,"Pueblo, CO",0.54,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch1399,OnTime
970,DCST-001969,PROD-008,Organic Apples,At DC,33029,2.99,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6023,Nil
113,CUST-001112,PROD-001,Organic Bananas,In Transit to Customer,4440,0.79,"Milpitas, CA",37.4323,-121.8996,"San Jose, CA",0.12,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch9274,OnTime
1092,DCST-002091,PROD-009,Organic Lettuce,At DC,42545,3.99,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch1564,Nil
662,SUPP-001661,PROD-006,Organic Tomatoes,In Transit from Supplier,7080,3.49,"Sarasota, FL",27.3364,-82.5307,"Houston Dock, TX",14.48,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 09:24 PM CST,batch8177,OnTime
385,SUPP-001384,PROD-004,Organic Strawberries,In Transit from Supplier,3879,5.99,"Fresno, CA",36.7378,-119.7871,"Houston Dock, TX",27.02,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 10:24 AM CST,batch8904,OnTime
592,DCST-001591,PROD-005,Organic Blueberries,At DC,40947,6.99,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6504,Nil
1157,CUST-002156,PROD-009,Organic Lettuce,In Transit to Customer,6707,3.99,"Tyngsborough, MA",42.677,-71.4245,"Manchester, NH",0.4,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch8384,OnTime
216,DCST-001215,PROD-002,Organic Avocados,At DC,40573,2.49,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch8918,Nil
1201,DCST-002200,PROD-010,Organic Bell Peppers,At DC,27199,4.49,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch7150,Nil
932,DCTR-001931,PROD-008,Organic Apples,In Transit to DC,3463,2.99,"Tucson, AZ",32.2226,-110.9747,"Phoenix DC, AZ",1.93,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch1957,OnTime
473,CUST-001472,PROD-004,Organic Strawberries,In Transit to Customer,6103,5.99,"Oxford, AL",33.6142,-85.8344,"Birmingham, AL",1.03,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 08:24 AM CST,batch4193,OnTime
204,DCST-001203,PROD-002,Organic Avocados,At DC,39633,2.49,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch3273,Nil
801,DCTR-001800,PROD-007,Organic Carrots,In Transit to DC,7847,1.99,"Phoenix, AZ",33.4484,-112.074,"Sacramento DC, CA",11.53,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 06:24 PM CST,batch2247,OnTime
1153,CUST-002152,PROD-009,Organic Lettuce,In Transit to Customer,5073,3.99,"Marlborough, MA",42.3459,-71.5523,"Worcester, MA",0.25,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch5299,OnTime
121,CUST-001120,PROD-001,Organic Bananas,In Transit to Customer,3887,0.79,"Firestone, CO",40.1483,-104.9386,"Fort Collins, CO",0.57,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch7599,OnTime
1261,CUST-002260,PROD-010,Organic Bell Peppers,In Transit to Customer,7828,4.49,"Fairfield, CA",38.2494,-122.04,"San Francisco, CA",0.7,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch3910,OnTime
996,CUST-001995,PROD-008,Organic Apples,In Transit to Customer,4239,2.99,"Indian Springs, GA",33.2415,-84.1349,"Macon, GA",0.73,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch1705,OnTime
109,CUST-001108,PROD-001,Organic Bananas,In Transit to Customer,3276,0.79,"Gila Bend, AZ",32.9481,-112.7163,"Yuma, AZ",2.04,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 09:24 AM CST,batch7934,OnTime
268,SUPP-001267,PROD-003,Organic Spinach,In Transit from Supplier,3227,4.99,"Barstow, CA",34.8958,-117.0228,"Houston Dock, TX",23.82,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 06:24 AM CST,batch7340,OnTime
773,SUPP-001772,PROD-007,Organic Carrots,In Transit from Supplier,3083,1.99,"Flagstaff, AZ",35.1983,-111.6513,"Houston Dock, TX",18.53,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 01:24 AM CST,batch4486,OnTime
98,CUST-001097,PROD-001,Organic Bananas,In Transit to Customer,4420,0.79,"Ringgold, GA",34.9162,-85.1091,"Chattanooga, TN",0.26,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch2628,OnTime
463,DCST-001462,PROD-004,Organic Strawberries,At DC,37859,5.99,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch1858,Nil
284,DOCK-001283,PROD-003,Organic Spinach,At the Dock,24293,4.99,"Houston Dock, TX",29.7604,-95.3698,"Houston Dock, TX",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch3937,Nil
493,CUST-001492,PROD-004,Organic Strawberries,In Transit to Customer,4634,5.99,"Tracy, CA",37.7397,-121.4252,"San Jose, CA",0.68,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch4724,OnTime
464,DCST-001463,PROD-004,Organic Strawberries,At DC,41120,5.99,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch8550,Nil
1071,DCST-002070,PROD-009,Organic Lettuce,At DC,30802,3.99,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch9535,Nil
1101,DCST-002100,PROD-009,Organic Lettuce,At DC,32539,3.99,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6657,Nil
1026,CUST-002025,PROD-008,Organic Apples,In Transit to Customer,3950,2.99,"Hudson, NH",42.7654,-71.4387,"Manchester, NH",0.29,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch3976,OnTime
1147,CUST-002146,PROD-009,Organic Lettuce,In Transit to Customer,4612,3.99,"Johnstown, CO",40.3369,-104.9119,"Fort Collins, CO",0.35,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch1614,OnTime
165,DCTR-001164,PROD-002,Organic Avocados,In Transit to DC,5608,2.49,"Bakersfield, CA",35.3733,-119.0187,"Sacramento DC, CA",4.73,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 11:24 AM CST,batch8374,OnTime
2,SUPP-001001,PROD-001,Organic Bananas,In Transit from Supplier,6828,0.79,"Lafayette, LA",30.2241,-92.0198,"Houston Dock, TX",3.69,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 10:24 AM CST,batch3584,OnTime
1023,CUST-002022,PROD-008,Organic Apples,In Transit to Customer,5233,2.99,"Natick, MA",42.2834,-71.3495,"Worcester, MA",0.42,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch8276,OnTime
855,DCST-001854,PROD-007,Organic Carrots,At DC,38367,1.99,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch2482,Nil
326,DCST-001325,PROD-003,Organic Spinach,At DC,40348,4.99,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch8828,Nil
263,SUPP-001262,PROD-003,Organic Spinach,In Transit from Supplier,6112,4.99,"Bakersfield, CA",35.3733,-119.0187,"Houston Dock, TX",25.94,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 08:24 AM CST,batch7994,OnTime
864,CUST-001863,PROD-007,Organic Carrots,In Transit to Customer,7777,1.99,"Trussville, AL",33.6198,-86.6089,"Birmingham, AL",0.25,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch1882,OnTime
348,CUST-001347,PROD-003,Organic Spinach,In Transit to Customer,6008,4.99,"Juliette, GA",33.0904,-83.8035,"Macon, GA",0.36,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch2647,OnTime
1089,DCST-002088,PROD-009,Organic Lettuce,At DC,36100,3.99,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch7604,Nil
775,SUPP-001774,PROD-007,Organic Carrots,In Transit from Supplier,4974,1.99,"Kingman, AZ",35.1894,-114.053,"Houston Dock, TX",20.9,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 31st 03:24 AM CST,batch7159,OnTime
313,DCST-001312,PROD-003,Organic Spinach,At DC,25131,4.99,"Phoenix DC, AZ",33.4484,-112.074,"Phoenix DC, AZ",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch6559,Nil
236,CUST-001235,PROD-002,Organic Avocados,In Transit to Customer,3379,2.49,"Gila Bend, AZ",32.9481,-112.7163,"Yuma, AZ",2.04,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 09:24 AM CST,batch5717,OnTime
1105,DCST-002104,PROD-009,Organic Lettuce,At DC,28317,3.99,"Denver DC, CO",39.7392,-104.9903,"Denver DC, CO",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch4652,Nil
357,CUST-001356,PROD-003,Organic Spinach,In Transit to Customer,3480,4.99,"Roll, AZ",32.7817,-113.7269,"Yuma, AZ",0.96,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch7673,OnTime
1171,SUPP-002170,PROD-010,Organic Bell Peppers,In Transit from Supplier,7247,4.49,"Mobile, AL",30.6954,-88.0399,"Houston Dock, TX",8.04,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 03:24 PM CST,batch6308,OnTime
607,CUST-001606,PROD-005,Organic Blueberries,In Transit to Customer,4978,6.99,"Gray, GA",33.0093,-83.532,"Macon, GA",0.24,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch406,OnTime
107,CUST-001106,PROD-001,Organic Bananas,In Transit to Customer,4665,0.79,"Sedona, AZ",34.8697,-111.761,"Flagstaff, AZ",0.43,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch6127,OnTime
559,DCST-001558,PROD-005,Organic Blueberries,At DC,40420,6.99,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch7598,Nil
638,SUPP-001637,PROD-006,Organic Tomatoes,In Transit from Supplier,6422,3.49,"New Orleans, LA",29.9511,-90.0715,"Houston Dock, TX",5.78,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 12:24 PM CST,batch1531,OnTime
444,DCST-001443,PROD-004,Organic Strawberries,At DC,34194,5.99,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch8892,Nil
1117,DCST-002116,PROD-009,Organic Lettuce,At DC,44940,3.99,"Boston DC, MA",42.3601,-71.0589,"Boston DC, MA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch3578,Nil
1258,CUST-002257,PROD-010,Organic Bell Peppers,In Transit to Customer,5182,4.49,"Wellton, AZ",32.6728,-114.1469,"Yuma, AZ",0.51,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch2947,OnTime
1146,CUST-002145,PROD-009,Organic Lettuce,In Transit to Customer,5137,3.99,"Firestone, CO",40.1483,-104.9386,"Fort Collins, CO",0.57,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch3381,OnTime
1085,DCST-002084,PROD-009,Organic Lettuce,At DC,39359,3.99,"Phoenix DC, AZ",33.4484,-112.074,"Phoenix DC, AZ",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch4925,Nil
64,DCST-001063,PROD-001,Organic Bananas,At DC,26579,0.79,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch5138,Nil
763,CUST-001762,PROD-006,Organic Tomatoes,In Transit to Customer,4311,3.49,"Foxborough, MA",42.0654,-71.2478,"Providence, RI",0.34,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,Jan 30th 07:24 AM CST,batch4300,OnTime
1076,DCST-002075,PROD-009,Organic Lettuce,At DC,32797,3.99,"Atlanta DC, GA",33.749,-84.388,"Atlanta DC, GA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch4804,Nil
310,DCST-001309,PROD-003,Organic Spinach,At DC,27576,4.99,"Phoenix DC, AZ",33.4484,-112.074,"Phoenix DC, AZ",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch893,Nil
707,DCST-001706,PROD-006,Organic Tomatoes,At DC,42856,3.49,"Sacramento DC, CA",38.5816,-121.4944,"Sacramento DC, CA",null,2026-01-30 13:24:04,Jan 30th 07:24 AM CST,null,batch8067,Nil
