record_id,batch_id,product_id,product_name,event,event_time_cst,entity_involved,entity_name,entity_location,entity_latitude,entity_longitude,event_time_cst_readable
43,batch9773,PROD-001,Organic Bananas,received at the dock,2025-10-08T17:14:50.618Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 05:14 PM CST
44,batch9773,PROD-001,Organic Bananas,shipped from dock,2025-10-09T17:14:50.618Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 05:14 PM CST
45,batch9104,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T08:39:48.958Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 10th 08:39 AM CST
46,batch9104,PROD-001,Organic Bananas,received at the dock,2025-10-11T00:40:28.291Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 12:40 AM CST
47,batch9104,PROD-001,Organic Bananas,shipped from dock,2025-10-12T00:40:28.291Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 12:40 AM CST
48,batch7121,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T10:34:44.733Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 9th 10:34 AM CST
49,batch7121,PROD-001,Organic Bananas,received at the dock,2025-10-09T16:02:17.967Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 04:02 PM CST
50,batch7121,PROD-001,Organic Bananas,shipped from dock,2025-10-10T16:02:17.967Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 04:02 PM CST
51,batch9006,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T07:54:42.072Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 8th 07:54 AM CST
52,batch9006,PROD-001,Organic Bananas,received at the dock,2025-10-08T23:55:21.406Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 11:55 PM CST
53,batch9006,PROD-001,Organic Bananas,shipped from dock,2025-10-09T23:55:21.406Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 11:55 PM CST
54,batch8600,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T02:46:46.962Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 9th 02:46 AM CST
55,batch8600,PROD-001,Organic Bananas,received at the dock,2025-10-09T08:14:20.196Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 08:14 AM CST
56,batch8600,PROD-001,Organic Bananas,shipped from dock,2025-10-10T08:14:20.196Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 08:14 AM CST
57,batch1585,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T22:39:09.472Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 10th 10:39 PM CST
58,batch1585,PROD-001,Organic Bananas,received at the dock,2025-10-11T04:02:43.361Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 04:02 AM CST
59,batch1585,PROD-001,Organic Bananas,shipped from dock,2025-10-12T04:02:43.361Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 04:02 AM CST
60,batch9851,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T06:58:44.778Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 10th 06:58 AM CST
61,batch9851,PROD-001,Organic Bananas,received at the dock,2025-10-10T22:59:24.111Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 10:59 PM CST
62,batch9851,PROD-001,Organic Bananas,shipped from dock,2025-10-11T22:59:24.111Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 10:59 PM CST
63,batch409,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T14:36:21.249Z,Supplier,Golden Fields Agriculture,"Los Angeles, CA",34.0522,-118.2437,Oct 8th 02:36 PM CST
64,batch409,PROD-001,Organic Bananas,received at the dock,2025-10-09T15:31:54.469Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 03:31 PM CST
65,batch409,PROD-001,Organic Bananas,shipped from dock,2025-10-10T15:31:54.469Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 03:31 PM CST
66,batch6440,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T11:35:09.294Z,Supplier,Summit Agriculture Co.,"Key West, FL",24.5551,-81.78,Oct 10th 11:35 AM CST
67,batch6440,PROD-001,Organic Bananas,received at the dock,2025-10-11T04:06:29.933Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 04:06 AM CST
68,batch6440,PROD-001,Organic Bananas,shipped from dock,2025-10-12T04:06:29.933Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 04:06 AM CST
69,batch1909,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T21:13:05.216Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 7th 09:13 PM CST
70,batch1909,PROD-001,Organic Bananas,received at the dock,2025-10-08T02:40:38.450Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 02:40 AM CST
71,batch1909,PROD-001,Organic Bananas,shipped from dock,2025-10-09T02:40:38.450Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 02:40 AM CST
72,batch1909,PROD-001,Organic Bananas,received at the DC,2025-10-10T07:50:26.428Z,DC,"Boston, MA","Boston, MA",42.3601,-71.0589,Oct 10th 07:50 AM CST
73,batch3947,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T11:01:49.118Z,Supplier,Evergreen Produce Group,"San Diego, CA",32.7157,-117.1611,Oct 10th 11:01 AM CST
74,batch3947,PROD-001,Organic Bananas,received at the dock,2025-10-11T10:41:10.383Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 10:41 AM CST
75,batch3947,PROD-001,Organic Bananas,shipped from dock,2025-10-12T10:41:10.383Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 10:41 AM CST
76,batch3947,PROD-001,Organic Bananas,received at the DC,2025-10-13T15:53:04.978Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 13th 03:53 PM CST
77,batch6414,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T19:41:22.355Z,Supplier,Mountain View Organics,"McAllen, TX",26.2034,-98.23,Oct 10th 07:41 PM CST
78,batch6414,PROD-001,Organic Bananas,received at the dock,2025-10-11T01:10:10.090Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 01:10 AM CST
79,batch6414,PROD-001,Organic Bananas,shipped from dock,2025-10-12T01:10:10.090Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 01:10 AM CST
80,batch6414,PROD-001,Organic Bananas,received at the DC,2025-10-13T06:22:04.685Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 13th 06:22 AM CST
81,batch9305,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T15:47:01.044Z,Supplier,Summit Agriculture Co.,"Key West, FL",24.5551,-81.78,Oct 9th 03:47 PM CST
82,batch9305,PROD-001,Organic Bananas,received at the dock,2025-10-10T08:18:21.683Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 08:18 AM CST
83,batch9305,PROD-001,Organic Bananas,shipped from dock,2025-10-11T08:18:21.683Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 08:18 AM CST
84,batch9305,PROD-001,Organic Bananas,received at the DC,2025-10-12T13:28:09.661Z,DC,"Boston, MA","Boston, MA",42.3601,-71.0589,Oct 12th 01:28 PM CST
85,batch466,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T19:23:21.136Z,Supplier,Summit Agriculture Co.,"Key West, FL",24.5551,-81.78,Oct 9th 07:23 PM CST
86,batch466,PROD-001,Organic Bananas,received at the dock,2025-10-10T11:54:41.775Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 11:54 AM CST
87,batch466,PROD-001,Organic Bananas,shipped from dock,2025-10-11T11:54:41.775Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 11:54 AM CST
88,batch466,PROD-001,Organic Bananas,received at the DC,2025-10-12T03:52:57.570Z,DC,"Denver, CO","Denver, CO",39.7392,-104.9903,Oct 12th 03:52 AM CST
89,batch3024,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T12:27:06.638Z,Supplier,Lakeside Farm Collective,"Miami, FL",25.7617,-80.1918,Oct 10th 12:27 PM CST
90,batch3024,PROD-001,Organic Bananas,received at the dock,2025-10-11T06:02:24.619Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 06:02 AM CST
91,batch3024,PROD-001,Organic Bananas,shipped from dock,2025-10-12T06:02:24.619Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 06:02 AM CST
92,batch3024,PROD-001,Organic Bananas,received at the DC,2025-10-13T11:14:19.214Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 13th 11:14 AM CST
93,batch310,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T14:36:35.914Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 8th 02:36 PM CST
94,batch310,PROD-001,Organic Bananas,received at the dock,2025-10-08T20:04:09.148Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 08:04 PM CST
95,batch310,PROD-001,Organic Bananas,shipped from dock,2025-10-09T20:04:09.148Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 08:04 PM CST
96,batch310,PROD-001,Organic Bananas,received at the DC,2025-10-11T01:16:03.743Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 11th 01:16 AM CST
97,batch5895,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T23:59:15.630Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 9th 11:59 PM CST
98,batch5895,PROD-001,Organic Bananas,received at the dock,2025-10-10T15:59:54.963Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 03:59 PM CST
99,batch5895,PROD-001,Organic Bananas,shipped from dock,2025-10-11T15:59:54.963Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 03:59 PM CST
100,batch5895,PROD-001,Organic Bananas,received at the DC,2025-10-12T04:44:43.728Z,DC,"Atlanta, GA","Atlanta, GA",33.749,-84.388,Oct 12th 04:44 AM CST
101,batch6957,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T11:32:05.788Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 9th 11:32 AM CST
102,batch6957,PROD-001,Organic Bananas,received at the dock,2025-10-10T03:32:45.122Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 03:32 AM CST
103,batch6957,PROD-001,Organic Bananas,shipped from dock,2025-10-11T03:32:45.122Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 03:32 AM CST
104,batch6957,PROD-001,Organic Bananas,received at the DC,2025-10-12T08:44:39.717Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 12th 08:44 AM CST
105,batch2146,PROD-001,Organic Bananas,shipped from supplier,2025-10-11T09:02:40.402Z,Supplier,Golden Fields Agriculture,"Los Angeles, CA",34.0522,-118.2437,Oct 11th 09:02 AM CST
106,batch2146,PROD-001,Organic Bananas,received at the dock,2025-10-12T09:58:13.622Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 09:58 AM CST
107,batch2146,PROD-001,Organic Bananas,shipped from dock,2025-10-13T09:58:13.622Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 13th 09:58 AM CST
108,batch2146,PROD-001,Organic Bananas,received at the DC,2025-10-14T15:10:08.216Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 14th 03:10 PM CST
109,batch1836,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T10:46:43.583Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 8th 10:46 AM CST
110,batch1836,PROD-001,Organic Bananas,received at the dock,2025-10-09T04:11:39.983Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 04:11 AM CST
111,batch1836,PROD-001,Organic Bananas,shipped from dock,2025-10-10T04:11:39.983Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 04:11 AM CST
112,batch1836,PROD-001,Organic Bananas,received at the DC,2025-10-11T09:23:34.578Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 11th 09:23 AM CST
113,batch2624,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T01:03:16.789Z,Supplier,Heartland Produce Alliance,"Pharr, TX",26.1948,-98.1836,Oct 10th 01:03 AM CST
114,batch2624,PROD-001,Organic Bananas,received at the dock,2025-10-10T06:30:50.023Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 06:30 AM CST
115,batch2624,PROD-001,Organic Bananas,shipped from dock,2025-10-11T06:30:50.023Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 06:30 AM CST
116,batch2624,PROD-001,Organic Bananas,received at the DC,2025-10-12T11:40:38.001Z,DC,"Boston, MA","Boston, MA",42.3601,-71.0589,Oct 12th 11:40 AM CST
117,batch3618,PROD-001,Organic Bananas,shipped from supplier,2025-10-09T21:50:10.666Z,Supplier,Heartland Produce Alliance,"Brownsville, TX",25.9017,-97.4975,Oct 9th 09:50 PM CST
118,batch3618,PROD-001,Organic Bananas,received at the dock,2025-10-10T03:13:44.556Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 03:13 AM CST
119,batch3618,PROD-001,Organic Bananas,shipped from dock,2025-10-11T03:13:44.556Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 03:13 AM CST
120,batch3618,PROD-001,Organic Bananas,received at the DC,2025-10-11T15:58:33.320Z,DC,"Atlanta, GA","Atlanta, GA",33.749,-84.388,Oct 11th 03:58 PM CST
121,batch3503,PROD-001,Organic Bananas,shipped from supplier,2025-10-07T13:41:59.116Z,Supplier,Evergreen Produce Group,"Laredo, TX",27.5306,-99.4803,Oct 7th 01:41 PM CST
122,batch3503,PROD-001,Organic Bananas,received at the dock,2025-10-07T19:01:36.339Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 7th 07:01 PM CST
123,batch3503,PROD-001,Organic Bananas,shipped from dock,2025-10-08T19:01:36.339Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 8th 07:01 PM CST
124,batch3503,PROD-001,Organic Bananas,received at the DC,2025-10-09T07:46:25.104Z,DC,"Atlanta, GA","Atlanta, GA",33.749,-84.388,Oct 9th 07:46 AM CST
125,batch5546,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T14:29:15.792Z,Supplier,Summit Agriculture Co.,"Key West, FL",24.5551,-81.78,Oct 10th 02:29 PM CST
126,batch5546,PROD-001,Organic Bananas,received at the dock,2025-10-11T07:00:36.431Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 07:00 AM CST
127,batch5546,PROD-001,Organic Bananas,shipped from dock,2025-10-12T07:00:36.431Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 07:00 AM CST
128,batch5546,PROD-001,Organic Bananas,received at the DC,2025-10-13T12:12:31.026Z,DC,"Sacramento, CA","Sacramento, CA",38.5816,-121.4944,Oct 13th 12:12 PM CST
129,batch2633,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T20:09:18.412Z,Supplier,Prairie Fresh Growers,"Immokalee, FL",26.4187,-81.4173,Oct 10th 08:09 PM CST
130,batch2633,PROD-001,Organic Bananas,received at the dock,2025-10-11T12:09:57.746Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 12:09 PM CST
131,batch2633,PROD-001,Organic Bananas,shipped from dock,2025-10-12T12:09:57.746Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 12:09 PM CST
132,batch2633,PROD-001,Organic Bananas,received at the DC,2025-10-13T06:36:21.274Z,DC,"Phoenix, AZ","Phoenix, AZ",33.4484,-112.074,Oct 13th 06:36 AM CST
133,batch5134,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T16:14:39.277Z,Supplier,Evergreen Produce Group,"San Diego, CA",32.7157,-117.1611,Oct 10th 04:14 PM CST
134,batch5134,PROD-001,Organic Bananas,received at the dock,2025-10-11T15:54:00.543Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 03:54 PM CST
135,batch5134,PROD-001,Organic Bananas,shipped from dock,2025-10-12T15:54:00.543Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 03:54 PM CST
136,batch5134,PROD-001,Organic Bananas,received at the DC,2025-10-13T21:03:48.520Z,DC,"Boston, MA","Boston, MA",42.3601,-71.0589,Oct 13th 09:03 PM CST
137,batch8813,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T06:40:00.070Z,Supplier,Lakeside Farm Collective,"Miami, FL",25.7617,-80.1918,Oct 8th 06:40 AM CST
138,batch8813,PROD-001,Organic Bananas,received at the dock,2025-10-09T00:15:18.051Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 12:15 AM CST
139,batch8813,PROD-001,Organic Bananas,shipped from dock,2025-10-10T00:15:18.051Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 12:15 AM CST
140,batch8813,PROD-001,Organic Bananas,received at the DC,2025-10-10T18:41:41.579Z,DC,"Phoenix, AZ","Phoenix, AZ",33.4484,-112.074,Oct 10th 06:41 PM CST
141,batch6885,PROD-001,Organic Bananas,shipped from supplier,2025-10-10T22:04:10.123Z,Supplier,Golden Fields Agriculture,"Los Angeles, CA",34.0522,-118.2437,Oct 10th 10:04 PM CST
142,batch6885,PROD-001,Organic Bananas,received at the dock,2025-10-11T22:59:43.343Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 11th 10:59 PM CST
143,batch6885,PROD-001,Organic Bananas,shipped from dock,2025-10-12T22:59:43.343Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 12th 10:59 PM CST
144,batch6885,PROD-001,Organic Bananas,received at the DC,2025-10-13T14:57:59.137Z,DC,"Denver, CO","Denver, CO",39.7392,-104.9903,Oct 13th 02:57 PM CST
145,batch7168,PROD-001,Organic Bananas,shipped from supplier,2025-10-08T20:06:38.498Z,Supplier,Desert Fresh Farms,"Homestead, FL",25.4687,-80.4776,Oct 8th 08:06 PM CST
146,batch7168,PROD-001,Organic Bananas,received at the dock,2025-10-09T13:31:34.898Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 9th 01:31 PM CST
147,batch7168,PROD-001,Organic Bananas,shipped from dock,2025-10-10T13:31:34.898Z,Dock,Houston Dock,"Houston, TX",29.7604,-95.3698,Oct 10th 01:31 PM CST
